Base Dataset,SERIES Code,SERIES Description,REF_AREA Code,REF_AREA Description,TIME_PERIOD,TIME_DETAIL,OBS_VALUE,UNIT_MEASURE Code,UNIT_MEASURE Description,Age code,Age,Sex code,Sex,SOURCE_DETAIL
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","562","Niger","2025","2025","40.9","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","566","Nigeria","2025","2025","51.7","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","586","Pakistan","2025","2025","4.5","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","275","State of Palestine","2025","2025","3.9","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","591","Panama","2025","2025","1","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","598","Papua New Guinea","2025","2025","14.6","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","600","Paraguay","2025","2025","0.9","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","604","Peru","2025","2025","2.7","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","608","Philippines","2025","2025","7","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","616","Poland","2025","2025","0.1","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","620","Portugal","2025","2025","0.2","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","642","Romania","2025","2025","2.4","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","643","Russian Federation","2025","2025","","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","646","Rwanda","2025","2025","44.5","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","678","Sao Tome and Principe","2025","2025","41.9","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","686","Senegal","2025","2025","25.2","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","688","Serbia","2025","2025","3.8","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","694","Sierra Leone","2025","2025","44.8","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","703","Slovakia","2025","2025","0.3","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","90","Solomon Islands","2025","2025","13.1","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","706","Somalia","2025","2025","72.3","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","710","South Africa","2025","2025","13.7","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","724","Spain","2025","2025","0.3","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","144","Sri Lanka","2025","2025","0.7","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","729","Sudan","2025","2025","9","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","728","South Sudan","2025","2025","46","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","740","Suriname","2025","2025","15.8","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","748","Eswatini","2025","2025","21.3","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
"SDG","SUP_1_1_IPL_P","(supplementary) Population living below the international poverty line by sex and age (%)","752","Sweden","2025","2025","0.2","%","PERCENT","Y_GE15","15+","FEMALE","Female","UN Women, UNDP and the Frederick S. Pardee Center for International Futures https://data.unwomen.org/publications/insights-action-gender-equality-wake-covid-19"
